GEO_ID,NAME,S2801_C01_001E,S2801_C01_001M,S2801_C01_002E,S2801_C01_002M,S2801_C01_003E,S2801_C01_003M,S2801_C01_004E,S2801_C01_004M,S2801_C01_005E,S2801_C01_005M,S2801_C01_006E,S2801_C01_006M,S2801_C01_007E,S2801_C01_007M,S2801_C01_008E,S2801_C01_008M,S2801_C01_009E,S2801_C01_009M,S2801_C01_010E,S2801_C01_010M,S2801_C01_011E,S2801_C01_011M,S2801_C01_012E,S2801_C01_012M,S2801_C01_013E,S2801_C01_013M,S2801_C01_014E,S2801_C01_014M,S2801_C01_015E,S2801_C01_015M,S2801_C01_016E,S2801_C01_016M,S2801_C01_017E,S2801_C01_017M,S2801_C01_018E,S2801_C01_018M,S2801_C01_019E,S2801_C01_019M,S2801_C01_020E,S2801_C01_020M,S2801_C01_021E,S2801_C01_021M,S2801_C01_022E,S2801_C01_022M,S2801_C01_023E,S2801_C01_023M,S2801_C01_024E,S2801_C01_024M,S2801_C01_025E,S2801_C01_025M,S2801_C01_026E,S2801_C01_026M,S2801_C01_027E,S2801_C01_027M,S2801_C01_028E,S2801_C01_028M,S2801_C01_029E,S2801_C01_029M,S2801_C01_030E,S2801_C01_030M,S2801_C01_031E,S2801_C01_031M,S2801_C02_001E,S2801_C02_001M,S2801_C02_002E,S2801_C02_002M,S2801_C02_003E,S2801_C02_003M,S2801_C02_004E,S2801_C02_004M,S2801_C02_005E,S2801_C02_005M,S2801_C02_006E,S2801_C02_006M,S2801_C02_007E,S2801_C02_007M,S2801_C02_008E,S2801_C02_008M,S2801_C02_009E,S2801_C02_009M,S2801_C02_010E,S2801_C02_010M,S2801_C02_011E,S2801_C02_011M,S2801_C02_012E,S2801_C02_012M,S2801_C02_013E,S2801_C02_013M,S2801_C02_014E,S2801_C02_014M,S2801_C02_015E,S2801_C02_015M,S2801_C02_016E,S2801_C02_016M,S2801_C02_017E,S2801_C02_017M,S2801_C02_018E,S2801_C02_018M,S2801_C02_019E,S2801_C02_019M,S2801_C02_020E,S2801_C02_020M,S2801_C02_021E,S2801_C02_021M,S2801_C02_022E,S2801_C02_022M,S2801_C02_023E,S2801_C02_023M,S2801_C02_024E,S2801_C02_024M,S2801_C02_025E,S2801_C02_025M,S2801_C02_026E,S2801_C02_026M,S2801_C02_027E,S2801_C02_027M,S2801_C02_028E,S2801_C02_028M,S2801_C02_029E,S2801_C02_029M,S2801_C02_030E,S2801_C02_030M,S2801_C02_031E,S2801_C02_031M
1400000US31001965400,"Census Tract 9654, Adams County, Nebraska",1736,96,1642,95,1459,90,137,41,1390,96,125,42,1112,82,17,14,119,48,0,10,94,33,1521,100,10,11,1511,97,1167,95,160,49,1124,103,227,72,215,57,86,32,0,10,58,26,28,14,694,80,8,10,555,78,131,44,956,72,2,4,898,66,56,32,(X),(X),94.6,1.9,84,2.9,7.9,2.4,80.1,3.3,7.2,2.3,64.1,4.1,1,0.8,6.9,2.7,0,1.3,5.4,1.9,87.6,3.2,0.6,0.6,87,3.1,67.2,3.8,9.2,2.8,64.7,4.6,13.1,4,12.4,3.2,(X),(X),0,22.7,67.4,14.4,32.6,14.4,(X),(X),1.2,1.5,80,5.8,18.9,6,(X),(X),0.2,0.4,93.9,3.2,5.9,3.2
1400000US31001965500,"Census Tract 9655, Adams County, Nebraska",1590,118,1452,123,1314,129,80,43,1301,122,64,48,981,122,0,10,132,87,0,10,138,62,1354,110,9,13,1345,110,1001,117,89,49,1197,107,84,49,236,78,219,83,0,10,149,64,70,50,730,140,9,13,575,126,146,65,641,93,0,10,621,91,20,20,(X),(X),91.3,3.8,82.6,5.8,5,2.7,81.8,5.6,4,3,61.7,7.5,0,1.4,8.3,5.3,0,1.4,8.7,3.8,85.2,4.6,0.6,0.8,84.6,4.6,63,6.2,5.6,3,75.3,5.8,5.3,3,14.8,4.6,(X),(X),0,9.8,68,17.8,32,17.8,(X),(X),1.2,1.8,78.8,8.4,20,8.3,(X),(X),0,3.4,96.9,3.2,3.1,3.2
1400000US31001965600,"Census Tract 9656, Adams County, Nebraska",1970,160,1711,164,1379,158,159,82,1507,151,252,149,1071,162,28,35,54,73,0,14,259,95,1439,153,30,34,1409,149,1095,141,145,109,1192,165,59,55,531,150,315,131,0,14,98,55,217,120,1113,201,30,34,803,166,280,124,542,136,0,14,508,132,34,39,(X),(X),86.9,4.7,70,7.2,8.1,4,76.5,5.5,12.8,7.2,54.4,8,1.4,1.8,2.7,3.6,0,1.1,13.1,4.7,73,6.7,1.5,1.7,71.5,6.6,55.6,7,7.4,5.4,60.5,8.5,3,2.8,27,6.7,(X),(X),0,6.9,31.1,17.5,68.9,17.5,(X),(X),2.7,3.1,72.1,9.6,25.2,9.4,(X),(X),0,4.1,93.7,6.9,6.3,6.9
1400000US31001965700,"Census Tract 9657, Adams County, Nebraska",680,69,565,80,417,86,38,41,490,82,85,58,326,70,4,7,2,4,0,10,115,54,447,87,0,10,447,87,340,92,131,70,316,70,0,10,233,71,153,57,0,10,50,32,103,51,378,88,0,10,261,80,117,51,149,46,0,10,136,45,13,15,(X),(X),83.1,7.8,61.3,12.4,5.6,6,72.1,9.3,12.5,8,47.9,9.8,0.6,1,0.3,0.6,0,3.3,16.9,7.8,65.7,10.2,0,3.3,65.7,10.2,50,11.8,19.3,9.5,46.5,10.4,0,3.3,34.3,10.2,(X),(X),0,13.6,32.7,20.2,67.3,20.2,(X),(X),0,5.8,69,12,31,12,(X),(X),0,14,91.3,9.5,8.7,9.5
1400000US31001965800,"Census Tract 9658, Adams County, Nebraska",887,94,812,102,644,114,67,46,695,105,87,50,506,104,7,11,149,85,0,10,75,47,740,100,7,13,733,101,528,97,147,71,549,109,53,51,147,70,65,43,7,13,25,25,33,30,641,96,0,10,536,92,105,64,181,71,0,10,172,70,9,15,(X),(X),91.5,5.3,72.6,10.1,7.6,5.2,78.4,7.8,9.8,5.4,57,10,0.8,1.3,16.8,9.5,0,2.5,8.5,5.3,83.4,7.5,0.8,1.4,82.6,7.7,59.5,8.7,16.6,7.7,61.9,10.4,6,5.6,16.6,7.5,(X),(X),10.8,19.2,38.5,27.9,50.8,32.1,(X),(X),0,3.4,83.6,9.3,16.4,9.3,(X),(X),0,11.7,95,8.2,5,8.2
1400000US31001965900,"Census Tract 9659, Adams County, Nebraska",1783,105,1575,122,1403,131,147,69,1335,124,51,52,1138,117,53,49,17,19,0,10,208,67,1500,128,9,14,1491,127,1310,129,120,75,1308,128,105,51,283,83,170,67,0,10,60,38,110,58,802,108,0,10,649,104,153,77,811,110,9,14,782,109,20,21,(X),(X),88.3,3.8,78.7,5.3,8.2,3.8,74.9,4.9,2.9,2.9,63.8,5.3,3,2.7,1,1,0,1.3,11.7,3.8,84.1,4.6,0.5,0.8,83.6,4.6,73.5,5.2,6.7,4.2,73.4,5.1,5.9,2.8,15.9,4.6,(X),(X),0,12.4,35.3,19.6,64.7,19.6,(X),(X),0,2.8,80.9,8.8,19.1,8.8,(X),(X),1.1,1.8,96.4,3,2.5,2.6
1400000US31001966000,"Census Tract 9660, Adams County, Nebraska",1961,130,1722,149,1389,157,181,80,1367,139,124,69,1091,157,87,59,29,23,0,10,239,98,1575,136,20,24,1555,133,1104,149,198,86,1286,153,104,59,386,125,496,120,0,10,293,90,203,90,931,121,20,24,744,113,167,88,534,123,0,10,518,124,16,24,(X),(X),87.8,4.9,70.8,6.5,9.2,4,69.7,5.9,6.3,3.5,55.6,6.8,4.4,2.9,1.5,1.2,0,1.1,12.2,4.9,80.3,5.9,1,1.2,79.3,5.9,56.3,7.1,10.1,4.4,65.6,6.9,5.3,3,19.7,5.9,(X),(X),0,4.4,59.1,13.7,40.9,13.7,(X),(X),2.1,2.5,79.9,8.8,17.9,8.7,(X),(X),0,4.1,97,4.6,3,4.6
1400000US31001966100,"Census Tract 9661, Adams County, Nebraska",1142,107,769,94,591,89,130,58,524,88,74,56,464,97,39,29,8,12,0,10,373,94,689,99,6,9,683,99,445,88,97,66,518,90,76,49,453,109,435,122,0,10,139,68,296,106,579,125,6,9,423,108,150,74,128,56,0,10,121,55,7,11,(X),(X),67.3,7,51.8,8.1,11.4,5.1,45.9,7,6.5,4.9,40.6,8.3,3.4,2.5,0.7,1.1,0,1.9,32.7,7,60.3,8,0.5,0.8,59.8,7.9,39,7.8,8.5,5.8,45.4,6.9,6.7,4.3,39.7,8,(X),(X),0,5,32,13.4,68,13.4,(X),(X),1,1.6,73.1,11.1,25.9,11.2,(X),(X),0,16.1,94.5,8.6,5.5,8.6
1400000US31001966200,"Census Tract 9662, Adams County, Nebraska",963,68,880,75,760,69,94,33,739,62,58,30,612,63,17,18,50,29,0,10,83,32,832,71,5,5,827,72,641,63,80,32,603,64,187,45,131,37,49,20,0,10,28,16,21,13,499,59,5,5,407,54,87,34,415,65,0,10,392,62,23,15,(X),(X),91.4,3.4,78.9,4.7,9.8,3.2,76.7,4.3,6,3,63.6,5.6,1.8,1.9,5.2,2.9,0,2.3,8.6,3.4,86.4,3.8,0.5,0.5,85.9,3.9,66.6,5.1,8.3,3.3,62.6,5,19.4,4.7,13.6,3.8,(X),(X),0,34.8,57.1,23.1,42.9,23.1,(X),(X),1,1,81.6,6.3,17.4,6.3,(X),(X),0,5.3,94.5,3.6,5.5,3.6
1400000US31003979600,"Census Tract 9796, Antelope County, Nebraska",823,64,709,64,593,67,100,42,555,71,46,23,446,66,18,16,6,7,0,10,114,32,647,64,2,3,645,65,494,69,147,40,356,63,137,42,176,47,102,38,0,10,65,32,37,19,505,68,2,3,387,61,116,36,216,53,0,10,193,46,23,26,(X),(X),86.1,3.7,72.1,5.9,12.2,5.2,67.4,5.7,5.6,2.7,54.2,6.8,2.2,1.9,0.7,0.8,0,2.7,13.9,3.7,78.6,5.3,0.2,0.4,78.4,5.3,60,6.7,17.9,4.5,43.3,6.5,16.6,4.9,21.4,5.3,(X),(X),0,19.7,63.7,15.6,36.3,15.6,(X),(X),0.4,0.6,76.6,6.4,23,6.4,(X),(X),0,9.9,89.4,11.2,10.6,11.2
