prvdr_ctgry_cd,city_name,fac_name,state_cd,st_adr,phne_num,zip_cd,bed_cnt,geo_address,loc,longitude,latitude
1,OMAHA,VA HOSPITAL,NE,4101 WOOLWORTH AVE,4024490600.0,68105,486.0,"4101 WOOLWORTH AVE, OMAHA, NE, 68105","Omaha VA Medical Center, 4101, Woolworth Avenue, Omaha, Douglas County, Nebraska, 68105, United States",-95.97363530547145,41.24368735
1,LINCOLN,BRYAN MEDICAL CENTER,NE,1600 SOUTH 48TH ST,4024811111.0,68506,630.0,"1600 SOUTH 48TH ST, LINCOLN, NE, 68506","Bryan Health East Campus, 1600, South 48th Street, Piedmont, Lincoln, Lancaster County, Nebraska, 68506, United States",-96.65130529005563,40.7970947
1,LOUP CITY,SACRED HEART HOSPITAL INC,NE,626 N STREET,3087450503.0,68853,26.0,"626 N STREET, LOUP CITY, NE, 68853","626, N Street, Loup City, Sherman County, Nebraska, 68853, United States",-98.9654845915493,41.275925971830986
1,LINCOLN,BRYANLGH MEDICAL CENTER WEST,NE,2300 S 16TH ST,4024751011.0,68502,252.0,"2300 S 16TH ST, LINCOLN, NE, 68502","2300, South 16th Street, Irvingdale, Lincoln, Lancaster County, Nebraska, 68502, United States",-96.69853761764706,40.792039
1,KEARNEY,CHI HEALTH GOOD SAMARITAN,NE,"P O BOX 1990, 10 EAST 31ST ST",3088657100.0,68848,165.0,"10 EAST 31ST ST, KEARNEY, NE, 68848","CHI Health Good Samaritan, 10, East 31st Street, Kearney, Buffalo County, Nebraska, 68847, United States",-99.08139508657356,40.7082656
1,OMAHA,DOUGLAS COUNTY HEALTH CENTER,NE,4102 WOOLWORTH AVE,4024447301.0,68105,37.0,"4102 WOOLWORTH AVE, OMAHA, NE, 68105","Douglas County Hospital, 4102, Woolworth Avenue, Omaha, Douglas County, Nebraska, 68105, United States",-95.9743998,41.246433
1,NELIGH,ANTELOPE MEMORIAL HOSPITAL,NE,102 W 9TH ST  PO BOX 229,4028874151.0,68756,45.0,"102 W 9TH ST, NELIGH, NE, 68756","Antelope Memorial Hospital, 102, West 9th Street, Neligh, Antelope County, Nebraska, 68756, United States",-98.03008831836186,42.1345349
1,NORFOLK,OUR LADY OF LOURDES HOSPITAL,NE,1500 KOENIGSTEIN AVE,4023713402.0,68701,87.0,"1500 KOENIGSTEIN AVE, NORFOLK, NE, 68701","Faith Regional Health Services - East Campus, 1500, Koenigstein Avenue, Mackels Mobile Home Court, Norfolk, Madison County, Nebraska, 68701, United States",-97.4308573565726,42.0350502
1,OMAHA,THE NEBRASKA MEDICAL CENTER,NE,987400 NEBRASKA MEDICAL CENTER,4025522040.0,68198,689.0,"987400 NEBRASKA MEDICAL CENTER, OMAHA, NE, 68198","Nebraska Medical Center, 668, South 41st Street, Omaha, Douglas County, Nebraska, 68105, United States",-95.977338810486,41.253940650000004
1,SIDNEY,MEMORIAL HEALTH CENTER,NE,645 OSAGE STREET,3082545825.0,69162,40.0,"645 OSAGE STREET, SIDNEY, NE, 69162","645, Osage Street, Sidney, Cheyenne County, Nebraska, 69162, United States",-102.97204698979593,41.13906118367347
1,FALLS CITY,COMMUNITY MEDICAL CENTER INC,NE,2307 BARADA STREET,4022452428.0,68355,35.0,"2307 BARADA STREET, FALLS CITY, NE, 68355","2307, Barada Street, Falls City, Richardson County, Nebraska, 68355, United States",-95.60524642857142,40.06782324489796
1,IMPERIAL,CHASE COUNTY COMMUNITY HOSPITAL,NE,600 WEST 12TH STREET,3088827111.0,69033,26.0,"600 WEST 12TH STREET, IMPERIAL, NE, 69033","Chase County Community Hospital, 600, West 12th Street, Imperial, Chase County, Nebraska, 69033, United States",-101.65046755146133,40.524023150000005
1,LINCOLN,CHI HEALTH ST ELIZABETH,NE,555 SOUTH 70TH ST,4022198000.0,68510,265.0,"555 SOUTH 70TH ST, LINCOLN, NE, 68510","CHI Health Saint Elizabeth, 555, South 70th Street, Lincoln, Lancaster County, Nebraska, 68503, United States",-96.62683628741198,40.8082818
1,MCCOOK,COMMUNITY HOSPITAL,NE,1301 E H ST,3083452650.0,69001,44.0,"1301 E H ST, MCCOOK, NE, 69001","Community Hospital, 1301, East H Street, McCook, Red Willow County, Nebraska, 69001, United States",-100.60799933410144,40.205636299999995
1,GRAND ISLAND,CHI HEALTH ST FRANCIS,NE,2620 WEST FAIDLEY AVE,3083844600.0,68803,130.0,"2620 WEST FAIDLEY AVE, GRAND ISLAND, NE, 68803","CHI Health Saint Francis, 2620, West Faidley Avenue, Grand Island, Hall County, Nebraska, 68803, United States",-98.37152655,40.9254888
1,GRANT,PERKINS COUNTY HEALTH SERVICES,NE,900 LINCOLN AVENUE,3083527200.0,69140,20.0,"900 LINCOLN AVENUE, GRANT, NE, 69140","Perkins County Health Services, 900, Lincoln Avenue, Grant, Perkins County, Nebraska, 69140, United States",-101.72686951039881,40.8489752
21,OMAHA,ONE WORLD COMMUNITY HEALTH CENTERS INC,NE,4001 LEAVENWORTH ST,4025028842.0,68105,,"4001 LEAVENWORTH ST, OMAHA, NE, 68105","4001, Leavenworth Street, Omaha, Douglas County, Nebraska, 68105, United States",-95.97353,41.252321
1,BRIDGEPORT,MORRILL COUNTY COMMUNITY HOSPITAL,NE,P O BOX 579  1313 S STREET,3082621616.0,69336,20.0,"1313 S STREET, BRIDGEPORT, NE, 69336","Morrill County Community Hospital, 1313, S Street, Bridgeport, Morrill County, Nebraska, 69336, United States",-103.09207565,41.6617696
